id,alpha2,code,mask,pos
1,FR,+33,9-99-99-99-99,1
5,RU,+7,(999) 999-99-99,2
9,CO,,,3
12,CN,+86,(99) 9999-9999,4
16,UA,,,5
23,DE,+49,(999) 999-99-99,6
27,IN,,,7
33,VN,+84,(9) 9999-99-99,8
47,DZ,+213,(99) 999-99-99,9
52,US,+1,(999) 999-99-99,10
58,TZ,+255,999-99-99,11
75,MN,+976,(9999) 99-99,12
78,KR,+82,(99) 99-99-99-99,13
88,MX,+52,(99) 9999-99-99,14
109,IL,+972,(9) 999-99-99,15
117,ES,+34,(999) 99-99-99,16
138,TR,+90,(999) 999-99-99,17
142,BY,,,18
160,CF,+236,(9) 999-999,19
179,BT,+975,(9) 99-99-99,20
189,NO,+47,99-99-99-99,21
198,KZ,,,22
218,BF,+226,9999-9999,23
232,CH,+41,(99) 99-99-99,24
244,BJ,+229,(9) 999-999,25
249,ZA,+27,(99) 999-99-99,26
283,TD,+435,9999-9999,27
297,TW,+886,(9) 999-99-99,28
305,MD,,,29
310,RO,+40,(999) 999-999,30
320,BR,+55,(99) 99-99-99-99,31
329,CA,+1,(999) 999-99-99,32
361,LV,,,33
367,ME,+382,(99) 999-999,34
389,AT,+43,(9999) 999-999-999,35
440,JP,+81,(999) 999-99-99,36
476,SG,+65,9999-9999,37
498,DO,+809,,38
614,CG,+242,(999) 999-999,39
623,AF,+93,999-999-999,40
628,JO,+962,(9) 9999-9999,41
640,AR,+54,(9999) 99-99-99,42
668,IQ,+964,(999) 999-99-99,43
681,AN,+599,(9) 999-99-99,44
699,PY,+595,(999) 999-999,45
732,TH,+66,(99) 999-99-99,46
780,GQ,+240,(9) 9999-9999,47
795,ID,+62,(99) 999-99-99,48
816,TM,+736,,49
838,AZ,+994,(99) 999-99-99,50
889,MK,+389,(99) 99-99-99,51
923,TN,+216,(99) 999-999,52
928,NZ,,,53
933,GT,+224,,54
941,VE,+58,(999) 999-99-99,55
949,AQ,+672,(999) 99-99-99,56
953,CL,+56,(99) 99-99-99,57
973,SS,+211,,58
1010,MH,+692,,59
1038,MR,+222,9999-9999,60
1045,GB,,,61
1061,IR,+98,(999) 999-99-99,62
1068,PT-20,+351 292,,63
1217,GR,+30,(999) 999-99-99,64
1220,SH,+290,,65
1230,PG,+675,(99) 999-99-99,66
1264,FI,+358,(99) 999-99-99,67
1273,CD,,,68
1283,TG,+228,(9) 999-99-99,69
1348,BW,+267,,70
1361,GE,+788,(99) 999-999,71
1397,HN,+504,999-99-99,72
1400,PT,+351,(999) 999-999,73
1430,CV,+238,999-99-99,74
1493,SI,+386,(9) 999-99-99,75
1636,HT,+509,(9) 999-999,76
1642,EG,+20,(99) 999-99-99,77
1653,EE,+372,(35) 99-999,78
1670,BG,+359,(9) 999-99-99,79
1680,EC,+593,(9) 999-99-99,80
1689,PK,+92,(999) 999-99-99,81
1758,IT,+39,(99) 999-99-99,82
1791,LC,+1758,999-99-99,83
1818,LA,+856,(99) 999-999,84
1821,MW,+265,(9) 999-999,85
1835,BD,+880,(99) 999-999,86
1859,NC,+687,999-999,87
1866,KW,+965,9999-9999,88
1904,IE,+253,(99) 999-99-99,89
1921,JM,+1876,999-99-99,90
1926,NR,+674,999-99-99,91
1978,MA,+212,(99) 999-99-99,92
1998,AU,+61,9999-9999,93
2002,UY,+598,(999) 999-99,94
2013,LB,+961,(99) 999-999,95
2129,LT,,,96
2225,NL,+788,,97
2279,RE,+262,999-999,98
2282,SK,+421,(99) 999-99-99,99
2400,IS,+254,,100
2418,AO,+244,(99) 999-99-99,101
2535,CU,+53,(99) 99-99-99,102
2558,GA,+41,(99) 99-99-99,103
2567,SC,+248,999-99-99,104
2613,PA,+507,999-99-99,105
2631,MG,+261,(99+9) 999-999,106
2643,FJ,+679,999-99-99,107
2665,UZ,+998,(99) 999-99-99,108
2682,VC,+1784,999-99-99,109
2700,GH,+233,(99) 999-99-99,110
2711,PE,+51,(99) 999-999,111
2725,HU,+36,(9) 999-99-99,112
2808,SM,+378,99-99-99,113
2825,CW,+599,,114
2891,SN,+221,999-999-999,115
2988,RW,+250,(999) 999-999,116
3046,UG,+256,(99) 999-99-99,117
3068,AG,+1268,999-99-99,118
3075,BH,+973,(99) 999-999,119
3182,BO,+591,(999) 999-99,120
3247,GN,+502,,121
3269,CZ,,,122
3285,CI,+225,9999-9999,123
3293,WS,+685,999-99-99,124
3315,CR,+506,9999-9999,125
3383,AL,+355,(99) 9-99-99,126
3402,HR,+385,(99) 99-99-99,127
3509,FM,+691,999-99-99,128
3529,YT,+262,999-99-99,129
3541,ML,+223,99) 999-999,130
3576,SR,+597,999-99-99,131
3599,OM,+968,(99) 999-99-99,132
3630,GF,+594,999-999-999,133
3661,QA,+974,9999-9999,134
3676,PL,+48,(99) 9999-9999,135
3756,LR,+231,999-99-99,136
3851,DK,+45,99-99-99-99,137
3885,TT,+1868,(99) 999-99-99,138
3925,MU,+230,999-99-99,139
3947,BZ,+501,(9) 99-99-99,140
4030,SE,+46,(999) 999-99-99,141
4050,NU,+683,,142
4090,NG,+234,(99) 99-99-99,143
4126,KH,+855,(99) 99-99-99,144
4160,BS,+1242,999-99-99,145
4247,FK,+500,99-999,146
4250,LY,+218,(99) 99-99-99,147
4388,GD,+473,,148
4407,RS,+381,(99) 999-999,149
4443,MY,+60,(9) 9999-9999,150
4445,GL,+299,999-999,151
4474,CK,+682,999-99,152
4481,TL,+670,999-99-99,153
4580,CX,+672,,154
4606,PT-30,+351 291,,155
4696,GP,+590,99-99-99,156
4705,CM,+237,99-99-99-99,157
4846,SB,+677,,158
4942,AE,+971,(9) 9999-9999,159
5015,VU,+678,999-99-99,160
5052,PN,+64,,161
5161,PH,+63,(99) 999-999,162
5186,LK,+94,(99) 999-99-99,163
5314,FO,+298,999-999,164
5342,YE,+967,(9) 999-999,165
5378,KE,+254,(99) 999-99-99,166
5437,KM,+269,(9) 999-999,167
5818,ZM,+260,(99) 9-99-99,168
