id,name_id,language_id,iname
1,1,1,Адмиралтейский район
2,2,1,Василеостровский район
3,3,1,Выборгский район
4,4,1,Калининский район
5,5,1,Кировский район
6,6,1,Колпинский район
7,7,1,Красногвардейский район
8,8,1,Красносельский район
9,9,1,Кронштадтский район
10,10,1,Курортный район
11,11,1,Московский район
12,12,1,Невский район
13,13,1,Петроградский район
14,14,1,Петродворцовый район
15,15,1,Приморский район
16,16,1,Пушкинский район
17,17,1,Фрунзенский район
18,18,1,Центральный район
19,19,1,Академический
20,20,1,Алексеевский
21,21,1,Алтуфьевский
22,22,1,Арбат
23,23,1,Аэропорт
24,24,1,Бабушкинский
25,25,1,Басманный
26,26,1,Беговой
27,27,1,Бескудниковский
28,28,1,Бибирево
29,29,1,Бирюлёво Восточное
30,30,1,Бирюлёво Западное
31,31,1,Богородское
32,32,1,Братеево
33,33,1,Бутырский
34,34,1,Вешняки
35,35,1,Внуково
36,36,1,Войковский
37,37,1,Восточное Дегунино
38,38,1,Восточное Измайлово
39,39,1,Восточный
40,40,1,Выхино-Жулебино
41,41,1,Гагаринский
42,42,1,Головинский
43,43,1,Гольяново
44,44,1,Даниловский
45,45,1,Дмитровский
46,46,1,Донской
47,47,1,Дорогомилово
48,48,1,Замоскворечье
49,49,1,Западное Дегунино
50,50,1,Зюзино
51,51,1,Зябликово
52,52,1,Ивановское
53,53,1,Измайлово
54,54,1,Капотня
55,55,1,Коньково
56,56,1,Коптево
57,57,1,Косино-Ухтомский
58,58,1,Котловка
59,59,1,Красносельский
60,60,1,Крылатское
61,61,1,Крюково
62,62,1,Кузьминки
63,63,1,Кунцево
64,64,1,Куркино
65,65,1,Левобережный
66,66,1,Лефортово
67,67,1,Лианозово
68,68,1,Ломоносовский
69,69,1,Лосиноостровский
70,70,1,Люблино
71,71,1,Марфино
72,72,1,Марьина Роща
73,73,1,Марьино
74,74,1,Матушкино
75,75,1,Метрогородок
76,76,1,Мещанский
77,77,1,Митино
78,78,1,Можайский
79,79,1,Молжаниновский
80,80,1,Москворечье-Сабурово
81,81,1,Нагатино-Садовники
82,82,1,Нагатинский Затон
83,83,1,Нагорный
84,84,1,Некрасовка
85,85,1,Нижегородский
86,86,1,Новогиреево
87,87,1,Новокосино
88,88,1,Ново-Переделкино
89,89,1,Обручевский
